Jobseeker's Allowance with rates and proportions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 6 October 2016],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sex,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item name,Total claimants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rate,Proportion of resident population aged 16-64 estimates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
local authority: county / unitary (as of April 2015),January 2015,,February 2015,,March 2015,,April 2015,,May 2015,,June 2015,,July 2015,,August 2015,,September 2015,,October 2015,,November 2015,,December 2015,,January 2016,,February 2016,,March 2016,,April 2016,,May 2016,,June 2016,,July 2016,,August 2016,
,number,rate,number,rate,number,rate,number,rate,number,rate,number,rate,number,rate,number,rate,number,rate,number,rate,number,rate,number,rate,number,rate,number,rate,number,rate,number,rate,number,rate,number,rate,number,rate,number,rate
Aberdeen City,"1,636",1.0,"1,849",1.1,"1,940",1.2,"2,007",1.2,"2,182",1.4,"2,205",1.4,"2,299",1.4,"2,346",1.5,"2,245",1.4,"2,313",1.4,"2,526",1.6,"2,439",1.5,"2,538",1.6,"2,657",1.6,"2,799",1.7,"2,865",1.8,"2,893",1.8,"2,831",1.8,"2,852",1.8,"2,852",1.8
Aberdeenshire,"1,079",0.6,"1,216",0.7,"1,251",0.8,"1,272",0.8,"1,263",0.8,"1,275",0.8,"1,268",0.8,"1,312",0.8,"1,276",0.8,"1,366",0.8,"1,466",0.9,"1,510",0.9,"1,739",1.0,"1,925",1.2,"2,019",1.2,"2,013",1.2,"2,019",1.2,"2,026",1.2,"1,988",1.2,"1,957",1.2
Angus,"1,321",1.9,"1,305",1.8,"1,294",1.8,"1,250",1.8,"1,262",1.8,"1,306",1.8,"1,336",1.9,"1,337",1.9,"1,175",1.6,"1,145",1.6,"1,170",1.6,"1,228",1.7,"1,340",1.9,"1,398",2.0,"1,457",2.0,"1,415",2.0,"1,391",1.9,"1,392",2.0,"1,323",1.9,"1,287",1.8
Argyll and Bute,"1,016",1.9,"1,077",2.0,"1,041",2.0,952,1.8,861,1.6,827,1.6,846,1.6,865,1.6,802,1.5,812,1.5,850,1.6,872,1.6,950,1.8,953,1.8,953,1.8,836,1.6,788,1.5,764,1.4,710,1.3,711,1.3
Clackmannanshire,"1,079",3.3,"1,044",3.2,974,3.0,904,2.8,840,2.6,837,2.6,830,2.5,773,2.4,701,2.1,655,2.0,615,1.9,639,1.9,711,2.2,723,2.2,729,2.2,686,2.1,637,1.9,613,1.9,576,1.8,595,1.8
Dumfries and Galloway,"1,849",2.0,"1,917",2.1,"1,896",2.1,"1,783",2.0,"1,655",1.8,"1,543",1.7,"1,507",1.7,"1,417",1.6,"1,276",1.4,"1,190",1.3,"1,128",1.2,"1,127",1.2,"1,205",1.3,"1,178",1.3,"1,117",1.2,"1,075",1.2,"1,048",1.2,"1,010",1.1,997,1.1,977,1.1
Dundee City,"3,531",3.6,"3,644",3.7,"3,474",3.5,"3,462",3.5,"3,397",3.4,"3,467",3.5,"3,543",3.6,"3,476",3.5,"3,050",3.1,"2,935",3.0,"2,836",2.9,"2,750",2.8,"2,863",2.9,"2,830",2.9,"2,850",2.9,"2,779",2.8,"2,717",2.8,"2,736",2.8,"2,678",2.7,"2,738",2.8
East Ayrshire,"2,922",3.8,"3,000",3.9,"2,910",3.7,"2,819",3.6,"2,705",3.5,"2,584",3.3,"2,831",3.6,"2,851",3.7,"2,470",3.2,"2,390",3.1,"2,449",3.1,"2,535",3.3,"2,613",3.4,"2,636",3.4,"2,474",3.2,"2,294",2.9,"2,144",2.8,"2,121",2.7,"2,106",2.7,"2,099",2.7
East Dunbartonshire,898,1.4,928,1.4,897,1.4,864,1.3,827,1.3,862,1.3,876,1.3,851,1.3,781,1.2,697,1.1,661,1.0,668,1.0,683,1.0,657,1.0,619,0.9,585,0.9,559,0.9,527,0.8,516,0.8,524,0.8
